root,form,frequency,translation
31;2A;39,I,1,to enjoy
31;2A;44,II,2,to recite
31;2C;2C,I,1,to shake
31;2C;39,I,79,to return
31;2C;39,VI,1,to return
31;2C;41,I,2,to quake
31;2C;45,I,5,to stone
31;2C;48,I,22,to hope;to expect;to desire
31;2C;48,IV,3,to defer;to postpone
31;2D;28,I,2,to be vast
31;2D;45,I,28,to have mercy
31;2F;2F,I,36,to turn back;to return
31;2F;2F,V,1,to waver
31;2F;2F,VIII,8,to turn back;to return
31;2F;41,I,1,to be close behind
31;2F;4A,I,1,to perish
31;2F;4A,IV,3,to ruin
31;2F;4A,V,1,to fall
31;32;42,I,61,to provide
31;33;44,IV,130,to send
31;33;48,I,1,to make
31;34;2F,I,1,to be led aright
31;36;39,I,1,to suckle
31;36;39,IV,5,to nurse;to suckle
31;36;39,X,1,to suckle
31;36;48,I,38,to be pleased
31;36;48,IV,3,to please;to satisfy
31;36;48,VI,2,to agree
31;36;48,VIII,3,to approve
31;39;4A,I,2,to pasture;to observe
31;39;4A,III,2,to observe
31;3A;28,I,4,to desire;to prefer
31;41;39,I,22,to raise
31;42;28,I,3,to respect
31;42;28,V,2,to be vigilant
31;42;28,VIII,4,to watch
31;42;4A,I,1,to ascend
31;42;4A,VIII,1,to ascend
31;43;28,I,9,to ride;to embark
31;43;28,II,1,to assemble
31;43;33,IV,2,to cast back;to plunge
31;43;36,I,3,to flee;to strike
31;43;39,I,5,to bow
31;43;45,I,1,to heap
31;43;46,I,2,to incline
31;45;4A,I,9,to throw;to accuse
31;47;28,I,3,to fear
31;47;28,IV,1,to terrify
31;47;28,X,1,to terrify
31;47;42,I,5,to cover
31;47;42,IV,3,to be hard on;to overburden;to cover
31;48;2D,IV,1,to bring
31;48;2F,III,8,to seduce;to demand;to get permission
31;48;2F,IV,139,to intend;to desire;to want;to wish
31;48;3A,I,3,to turn
31;4A;28,VIII,9,to doubt
31;4A;46,I,1,to cover
32;2C;31,VIII,1,to repell
32;2C;48,IV,2,to drive
32;2D;32;2D,I,1,to draw away
32;31;39,I,2,to plant;to sow
32;31;4A,VIII,1,to look down
32;39;45,I,13,to claim
32;41;41,I,1,to hasten
32;43;48,I,1,to purify
32;43;48,II,12,to purify
32;43;48,V,8,to purify
32;44;32;44,I,3,to shake
32;44;41,IV,4,to bring near
32;44;42,IV,1,to make slip
32;44;44,I,2,to slip
32;44;44,IV,1,to make slip
32;44;44,X,1,to make slip
32;46;4A,I,2,to commit adultery
32;47;42,I,3,to depart;to perish
32;48;2C,II,5,to marry;to be paired
32;48;2F,V,1,to take provision
32;48;31,I,1,to visit
32;48;31,VI,1,to incline away
32;48;44,I,3,to cease
32;4A;2F,I,49,to increase
32;4A;2F,VIII,8,to increase
32;4A;3A,I,6,to deviate;to turn away;to swerve
32;4A;3A,IV,2,to deviate
32;4A;44,I,8,to cease
32;4A;44,II,1,to seperate
32;4A;44,V,1,to be apart
32;4A;46,II,26,to make fair-seeming
32;4A;46,V,1,to beautify
33;27;44,I,106,to ask
33;27;44,VI,9,to question;to ask;to inquire
33;27;45,I,3,to tire
33;28;28,I,2,to insult
33;28;2A,I,1,to have Sabbath
33;28;2D,I,2,to swim;to float
33;28;2D,II,42,to glorify;to praise
33;28;3A,IV,1,to bestow
